Protocol,Length,0,Source,Destination,source port,Destination port,Count,Manual Label
TLSv1.2,97,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,1440,0
TLSv1.2,97,2020-03-10,89.18.105.60,130.240.134.20,8883,34223,1440,0
TLSv1.2,162,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,8,0
TLSv1.2,164,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,8,0
TLSv1.2,166,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,9,0
TLSv1.2,170,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,8,0
TLSv1.2,172,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,7,0
TLSv1.2,174,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,5,0
TLSv1.2,177,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,3,0
TLSv1.2,183,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,6,0
TLSv1.2,186,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,8,0
TLSv1.2,191,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,15221,0
TLSv1.2,192,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,173,0
TLSv1.2,204,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,33,0
TLSv1.2,205,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,9,0
TLSv1.2,206,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,6,0
TLSv1.2,212,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,2,0
TLSv1.2,239,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,2,0
TLSv1.2,240,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,22,0
TLSv1.2,282,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,2,0
TLSv1.2,283,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,1,0
TLSv1.2,390,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,1,0
TLSv1.2,974,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,976,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,978,2020-03-10,130.240.134.20,89.18.105.60,34223,8883,320,0
TLSv1.2,97,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,1440,0
TLSv1.2,97,2020-03-16,89.18.105.60,130.240.134.20,8883,34223,1441,0
TLSv1.2,162,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,92,0
TLSv1.2,164,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,92,0
TLSv1.2,166,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,9,0
TLSv1.2,170,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,92,0
TLSv1.2,172,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,74,0
TLSv1.2,174,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,61,0
TLSv1.2,177,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,183,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,6,0
TLSv1.2,186,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,92,0
TLSv1.2,191,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,10929,0
TLSv1.2,192,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,283,0
TLSv1.2,193,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,108,0
TLSv1.2,204,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,27,0
TLSv1.2,205,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,6,0
TLSv1.2,206,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,14,0
TLSv1.2,240,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,27,0
TLSv1.2,280,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,3,0
TLSv1.2,282,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,18,0
TLSv1.2,283,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,14,0
TLSv1.2,285,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,10,0
TLSv1.2,390,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,8,0
TLSv1.2,391,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,1,0
TLSv1.2,501,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,1,0
TLSv1.2,974,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,976,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,978,2020-03-16,130.240.134.20,89.18.105.60,34223,8883,320,0
TLSv1.2,97,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,1439,0
TLSv1.2,97,2020-03-11,89.18.105.60,130.240.134.20,8883,34223,1439,0
TLSv1.2,99,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,2,1
TLSv1.2,136,2020-03-11,89.18.105.60,130.240.134.20,8883,34223,1,1
TLSv1.2,162,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,154,0
TLSv1.2,164,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,156,0
TLSv1.2,166,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,9,0
TLSv1.2,170,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,147,0
TLSv1.2,172,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,139,0
TLSv1.2,174,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,43,0
TLSv1.2,177,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,13,0
TLSv1.2,183,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,9,0
TLSv1.2,185,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,4,1
TLSv1.2,186,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,148,0
TLSv1.2,191,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,10576,0
TLSv1.2,192,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,185,0
TLSv1.2,193,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,61,0
TLSv1.2,204,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,28,0
TLSv1.2,205,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,9,0
TLSv1.2,206,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,10,0
TLSv1.2,212,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,3,0
TLSv1.2,239,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,7,0
TLSv1.2,240,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,280,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,1,0
TLSv1.2,282,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,8,0
TLSv1.2,283,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,6,0
TLSv1.2,285,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,5,0
TLSv1.2,362,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,1,0
TLSv1.2,390,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,4,0
TLSv1.2,391,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,2,0
TLSv1.2,393,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,1,0
TLSv1.2,420,2020-03-11,89.18.105.60,130.240.134.20,8883,34223,1,0
TLSv1.2,974,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,976,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,978,2020-03-11,130.240.134.20,89.18.105.60,34223,8883,320,0
TLSv1.2,97,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,1306,0
TLSv1.2,97,2020-05-28,89.18.105.60,130.240.134.20,8883,36655,1307,0
TLSv1.2,99,2020-05-28,89.18.105.60,130.240.134.20,8883,36655,3,1
TLSv1.2,100,2020-05-28,89.18.105.60,130.240.134.20,8883,36655,1,1
TLSv1.2,124,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,1,1
TLSv1.2,162,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,223,0
TLSv1.2,163,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,22,0
TLSv1.2,164,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,226,0
TLSv1.2,165,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,27,0
TLSv1.2,166,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,10,0
TLSv1.2,170,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,195,0
TLSv1.2,172,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,182,0
TLSv1.2,174,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,51,0
TLSv1.2,177,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,11,0
TLSv1.2,183,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,12,0
TLSv1.2,185,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,5,1
TLSv1.2,186,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,194,0
TLSv1.2,188,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,4,0
TLSv1.2,191,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,24703,0
TLSv1.2,192,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,62,0
TLSv1.2,193,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,36,0
TLSv1.2,203,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,1,0
TLSv1.2,204,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,13,0
TLSv1.2,205,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,26,0
TLSv1.2,206,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,4,0
TLSv1.2,212,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,1,0
TLSv1.2,215,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,1,1
TLSv1.2,239,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,1,0
TLSv1.2,240,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,45,0
TLSv1.2,282,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,9,0
TLSv1.2,283,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,13,0
TLSv1.2,308,2020-05-28,89.18.105.60,130.240.134.20,8883,36655,1,0
TLSv1.2,339,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,1,0
TLSv1.2,356,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,1,0
TLSv1.2,364,2020-05-28,89.18.105.60,130.240.134.20,8883,36655,1,0
TLSv1.2,390,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,1,0
TLSv1.2,756,2020-05-28,89.18.105.60,130.240.134.20,8883,36655,1,0
TLSv1.2,971,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,4,0
TLSv1.2,973,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,323,0
TLSv1.2,1509,2020-05-28,130.240.134.20,89.18.105.60,36655,8883,1,0
TLSv1.2,97,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,1440,0
TLSv1.2,97,2020-03-13,89.18.105.60,130.240.134.20,8883,34223,1440,0
TLSv1.2,162,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,70,0
TLSv1.2,164,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,70,0
TLSv1.2,166,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,9,0
TLSv1.2,170,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,70,0
TLSv1.2,172,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,56,0
TLSv1.2,174,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,41,0
TLSv1.2,177,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,14,0
TLSv1.2,183,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,6,0
TLSv1.2,186,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,70,0
TLSv1.2,191,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,12152,0
TLSv1.2,192,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,215,0
TLSv1.2,193,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,17,0
TLSv1.2,204,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,29,0
TLSv1.2,205,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,7,0
TLSv1.2,206,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,13,0
TLSv1.2,212,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,2,0
TLSv1.2,239,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,2,0
TLSv1.2,240,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,25,0
TLSv1.2,280,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,2,0
TLSv1.2,282,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,16,0
TLSv1.2,283,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,10,0
TLSv1.2,285,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,8,0
TLSv1.2,390,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,6,0
TLSv1.2,391,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,2,0
TLSv1.2,393,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,1,0
TLSv1.2,974,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,976,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,978,2020-03-13,130.240.134.20,89.18.105.60,34223,8883,320,0
TLSv1.2,97,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,1440,0
TLSv1.2,97,2020-05-29,89.18.105.60,130.240.134.20,8883,36655,1440,0
TLSv1.2,162,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,70,0
TLSv1.2,164,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,70,0
TLSv1.2,165,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,3,0
TLSv1.2,166,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,10,0
TLSv1.2,170,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,68,0
TLSv1.2,172,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,53,0
TLSv1.2,174,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,65,0
TLSv1.2,177,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,12,0
TLSv1.2,183,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,15,0
TLSv1.2,185,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,7,1
TLSv1.2,186,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,68,0
TLSv1.2,188,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,10,0
TLSv1.2,191,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,28402,0
TLSv1.2,192,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,29,0
TLSv1.2,193,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,10,0
TLSv1.2,204,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,22,0
TLSv1.2,205,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,16,0
TLSv1.2,206,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,10,0
TLSv1.2,212,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,1,0
TLSv1.2,239,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,2,0
TLSv1.2,240,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,48,0
TLSv1.2,282,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,7,0
TLSv1.2,283,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,15,0
TLSv1.2,390,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,1,0
TLSv1.2,393,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,1,0
TLSv1.2,971,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,5,0
TLSv1.2,973,2020-05-29,130.240.134.20,89.18.105.60,36655,8883,355,0
TLSv1.2,97,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,1440,0
TLSv1.2,97,2020-03-12,89.18.105.60,130.240.134.20,8883,34223,1440,0
TLSv1.2,162,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,162,0
TLSv1.2,164,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,162,0
TLSv1.2,166,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,9,0
TLSv1.2,170,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,160,0
TLSv1.2,172,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,135,0
TLSv1.2,174,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,85,0
TLSv1.2,177,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,183,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,7,0
TLSv1.2,185,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,1,1
TLSv1.2,186,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,160,0
TLSv1.2,191,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,10618,0
TLSv1.2,192,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,693,1
TLSv1.2,193,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,155,1
TLSv1.2,204,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,30,0
TLSv1.2,205,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,9,0
TLSv1.2,206,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,9,0
TLSv1.2,212,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,2,0
TLSv1.2,239,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,3,0
TLSv1.2,240,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,26,0
TLSv1.2,280,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,3,0
TLSv1.2,282,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,283,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,19,0
TLSv1.2,285,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,11,0
TLSv1.2,300,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,1,0
TLSv1.2,390,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,5,0
TLSv1.2,391,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,2,0
TLSv1.2,393,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,1,0
TLSv1.2,501,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,1,0
TLSv1.2,974,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,976,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,20,0
TLSv1.2,978,2020-03-12,130.240.134.20,89.18.105.60,34223,8883,320,0
TLSv1.2,97,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,1440,0
TLSv1.2,97,2020-06-05,89.18.105.60,130.240.134.20,8883,44117,1440,0
TLSv1.2,162,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,293,0
TLSv1.2,163,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,2,0
TLSv1.2,164,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,296,0
TLSv1.2,165,2020-06-05,130.240.134.20,89.18.105.60,44117,8883,6,0
